Nome,Tipo,Coordinate
Parcheggio Crotto del Tiglio,parking,"(45.8234011, 9.0656734)"
C'era una volta,restaurant,"(45.801535, 9.0927919)"
Pane e Tulipani,restaurant,"(45.809825, 9.0821034)"
Polizia Locale Como,police,"(45.8082385, 9.0760012)"
Natta cafe,cafe,"(45.808655, 9.0831134)"
15 - Caserme,bicycle_rental,"(45.7970614, 9.0925518)"
Da Benito,restaurant,"(45.8052089, 9.0986824)"
Clinica Veterinaria San Martino,veterinary,"(45.804205, 9.0955163)"
BCC - Cassa​ Rurale ed Artigiana di Cantù,bank,"(45.8125425, 9.0828596)"
Blanco cafè - Piadineria,bar,"(45.804779, 9.081979)"
UBI Banca,bank,"(45.8056529, 9.084411)"
La Parigina,ice_cream,"(45.812529, 9.0700639)"
Europcar,car_rental,"(45.8084705, 9.0756576)"
Riva Cafè,restaurant,"(45.812619, 9.0796643)"
Scalo di Como,ferry_terminal,"(45.8149897, 9.0825124)"
Frate,restaurant,"(45.8258559, 9.0496941)"
Ok Pizza,fast_food,"(45.8379086, 9.042557)"
Il Birratrovo,pub,"(45.8078582, 9.0855306)"
Osteria L'Angolo del Silenzio,restaurant,"(45.8099308, 9.0869108)"
La Cucina di Elsa,restaurant,"(45.8113357, 9.0796423)"
Lighthouse,bar,"(45.8107028, 9.078134)"
Farmacia Camerlata,pharmacy,"(45.7906828, 9.0852486)"
Paradise,restaurant,"(45.8049199, 9.0850365)"
Bar Gelateria Tolini,bar,"(45.8123873, 9.0821507)"
La Cornucopia,restaurant,"(45.8082178, 9.0742155)"
Mitico,cafe,"(45.8337635, 9.0443919)"
Beija Flor,restaurant,"(45.8102836, 9.0866811)"
BNL,bank,"(45.8131364, 9.0817363)"
Bar Touring Caffè,cafe,"(45.8132658, 9.0815767)"
Pirellino,bicycle_rental,"(45.8068246, 9.0808426)"
Como Nord Lago,bicycle_rental,"(45.8146451, 9.0833196)"
Cacciatori delle Alpi,bicycle_rental,"(45.8102631, 9.076928)"
Chiesa di San Provino,place_of_worship,"(45.8129825, 9.0839)"
Bar San Giuliano,bar,"(45.8123342, 9.0892531)"
La Nostra Famiglia,social_facility,"(45.8119495, 9.0911966)"
Old America,restaurant,"(45.7803266, 9.068091)"
V6 Pub & Grill,restaurant,"(45.7804967, 9.0682304)"
Antica trattoria della pila,restaurant,"(45.804573, 9.1153371)"
Megabar,restaurant,"(45.8329132, 9.0392028)"
Er Più,restaurant,"(45.7955504, 9.0920301)"
Ex Sanatorio G. B. Grassi,hospital,"(45.7919754, 9.0847412)"
Monte dei Paschi di Siena,bank,"(45.7900825, 9.083976)"
Ubi Banca,bank,"(45.7893961, 9.0806849)"
Pinocchio,cafe,"(45.7871461, 9.0774126)"
Bar Carrera,bar,"(45.8257053, 9.0499517)"
Bar Aprica,bar,"(45.8216181, 9.0570229)"
Highlander,cafe,"(45.8256331, 9.0500817)"
Bar Papilogia,cafe,"(45.8253303, 9.0505484)"
I Sushi,restaurant,"(45.8096848, 9.0751151)"
Bar Italia,cafe,"(45.810016, 9.0753331)"
Vittoria,cafe,"(45.8059964, 9.0846493)"
Como Antica,bar,"(45.8077884, 9.0883038)"
Bar River,bar,"(45.8120466, 9.0739565)"
Caffè Ambrosiano,cafe,"(45.8125849, 9.0811512)"
Caffè 7 Bello,cafe,"(45.8178382, 9.0639944)"
ZaZà,restaurant,"(45.8145856, 9.0843484)"
Borgo Sant’Agostino,restaurant,"(45.8175162, 9.0829688)"
Bar dell'Ospedale,bar,"(45.7909617, 9.089754)"
I Tre Santi,ice_cream,"(45.8160684, 9.0829975)"
Al Numero 1,fast_food,"(45.8267625, 9.0480169)"
Cremeria,cafe,"(45.8270614, 9.0481034)"
Hosteria La Scogliera,restaurant,"(45.8313642, 9.0359328)"
La Caveja,fast_food,"(45.8314524, 9.0357271)"
Piadineria l'Innominato,restaurant,"(45.8079664, 9.0850996)"
Caffè Carducci,cafe,"(45.8079881, 9.085414)"
Farmacia Leonardi,pharmacy,"(45.8252771, 9.0500897)"
Granmercato charging station,charging_station,"(45.8325496, 9.0704347)"
I Tre Mori,restaurant,"(45.7974977, 9.0953785)"
Studio Odontoiatrico Dott. Giovanni Miticocchio,dentist,"(45.8002788, 9.0932825)"
